Heure		G		Gd		Gc		DNI		DNIc		A		Ad		Ac
04:37		41		40		20		0		0		149		56		258
04:52		54		53		27		0		0		221		92		376
05:07		67		66		34		0		0		276		112		473
05:22		80		79		40		0		0		323		127		554
05:37		92		91		46		0		0		363		141		624
05:52		113		97		74		236		547		399		154		685
06:07		143		110		120		255		592		431		165		737
06:22		174		123		170		272		631		459		175		783
06:37		206		136		224		287		666		484		184		822
06:52		239		147		279		301		698		506		193		857
07:07		271		158		336		313		725		525		200		887
07:22		304		168		394		323		750		543		206		913
07:37		335		177		451		333		772		558		212		936
07:52		365		185		508		341		792		571		217		955
08:07		395		192		564		349		810		582		221		972
08:22		423		199		619		356		826		592		224		987
08:37		450		204		671		362		840		600		226		999
08:52		475		209		721		368		853		607		229		1010
09:07		498		213		769		373		865		613		230		1020
09:22		520		216		814		377		875		618		231		1030
09:37		539		219		855		381		884		622		232		1030
09:52		557		221		893		384		892		625		232		1040
10:07		573		223		927		387		899		627		232		1040
10:22		587		225		957		390		904		629		232		1050
10:37		599		226		984		392		909		630		232		1050
10:52		609		227		1010		394		914		631		232		1050
11:07		617		227		1020		395		917		632		231		1050
11:22		623		228		1040		396		919		633		231		1050
11:37		627		228		1050		397		921		633		231		1050
11:52		630		228		1050		397		922		633		231		1050
12:07		630		228		1050		397		922		633		231		1050
12:22		627		228		1050		397		921		633		231		1050
12:37		623		228		1040		396		919		633		231		1050
12:52		617		227		1020		395		917		632		231		1050
13:07		609		227		1010		394		914		631		232		1050
13:22		599		226		984		392		909		630		232		1050
13:37		587		225		957		390		904		629		232		1050
13:52		573		223		927		387		899		627		232		1040
14:07		557		221		893		384		892		625		232		1040
14:22		539		219		855		381		884		622		232		1030
14:37		520		216		814		377		875		618		231		1030
14:52		498		213		769		373		865		613		230		1020
15:07		475		209		721		368		853		607		229		1010
15:22		450		204		671		362		840		600		226		999
15:37		423		199		619		356		826		592		224		987
15:52		395		192		564		349		810		582		221		972
16:07		365		185		508		341		792		571		217		955
16:22		335		177		451		333		772		558		212		936
16:37		304		168		394		323		750		543		206		913
16:52		271		158		336		313		725		525		200		887
17:07		239		147		279		301		698		506		193		857
17:22		206		136		224		287		666		484		184		822
17:37		174		123		170		272		631		459		175		783
17:52		143		110		120		255		592		431		165		737
18:07		113		97		74		236		547		399		154		685
18:22		92		91		46		0		0		363		141		624
18:37		80		79		40		0		0		323		127		554
18:52		67		66		34		0		0		276		112		473
19:07		54		53		27		0		0		221		92		376
19:22		41		40		20		0		0		21		18		11
19:37		27		26		13		0		0		14		11		7
