Date&Time (UTC),Dry bulb temperature (deg. C), Global horizontal irradiance (W/m2) ,Direct (beam) normal Irradiance (W/m2),Diffuse horizontal irradiance (W/m2), Infrared radiation downwards (W/m2),  Windspeed (m/s)
01/01/2012 00:00:00,7.40,0.00,-0.00,0.00,343.21,4.93
01/01/2012 01:00:00,8.26,0.00,-0.00,0.00,348.15,5.04
01/01/2012 02:00:00,9.11,0.00,-0.00,0.00,353.08,5.14
01/01/2012 03:00:00,9.96,0.00,-0.00,0.00,358.01,5.25
01/01/2012 04:00:00,10.82,0.00,-0.00,0.00,362.95,5.36
01/01/2012 05:00:00,11.67,0.00,-0.00,0.00,367.88,5.47
01/01/2012 06:00:00,12.52,0.00,-0.00,0.00,372.82,5.58
01/01/2012 07:00:00,13.38,0.00,-0.00,0.00,377.75,5.68
01/01/2012 08:00:00,12.26,5.00,0.00,5.00,365.05,6.23
01/01/2012 09:00:00,12.39,87.00,103.59,70.00,365.82,6.32
01/01/2012 10:00:00,12.51,32.00,0.00,32.00,366.58,6.41
01/01/2012 11:00:00,12.64,51.00,0.00,51.00,367.35,6.50
01/01/2012 12:00:00,12.71,39.00,0.00,39.00,368.58,6.92
01/01/2012 13:00:00,12.78,113.00,18.03,108.00,369.82,7.35
01/01/2012 14:00:00,12.86,67.00,4.85,66.00,371.05,7.78
01/01/2012 15:00:00,12.75,26.00,0.00,26.00,370.57,7.98
01/01/2012 16:00:00,12.64,0.00,-0.00,0.00,370.08,8.17
01/01/2012 17:00:00,12.53,0.00,-0.00,0.00,369.60,8.37
01/01/2012 18:00:00,12.26,0.00,-0.00,0.00,364.50,8.72
01/01/2012 19:00:00,12.00,0.00,-0.00,0.00,359.40,9.07
01/01/2012 20:00:00,11.74,0.00,-0.00,0.00,354.30,9.42
01/01/2012 21:00:00,11.45,0.00,-0.00,0.00,351.68,8.29
01/01/2012 22:00:00,11.16,0.00,-0.00,0.00,349.07,7.17
01/01/2012 23:00:00,10.86,0.00,-0.00,0.00,346.45,6.04
02/01/2012 00:00:00,10.65,0.00,-0.00,0.00,349.95,5.88
02/01/2012 01:00:00,10.43,0.00,-0.00,0.00,353.45,5.71
02/01/2012 02:00:00,10.21,0.00,-0.00,0.00,356.95,5.54
02/01/2012 03:00:00,9.75,0.00,-0.00,0.00,352.80,5.25
02/01/2012 04:00:00,9.28,0.00,-0.00,0.00,348.65,4.95
02/01/2012 05:00:00,8.82,0.00,-0.00,0.00,344.50,4.65
02/01/2012 06:00:00,8.43,0.00,-0.00,0.00,332.68,4.80
02/01/2012 07:00:00,8.05,0.00,-0.00,0.00,320.87,4.95
02/01/2012 08:00:00,7.66,12.00,0.00,12.00,309.05,5.10
02/01/2012 09:00:00,7.75,138.00,583.02,42.00,305.90,5.19
02/01/2012 10:00:00,7.84,219.00,564.19,77.00,302.75,5.28
02/01/2012 11:00:00,7.93,198.00,185.70,142.00,299.60,5.37
02/01/2012 12:00:00,7.82,194.00,151.17,147.00,290.92,5.51
02/01/2012 13:00:00,7.71,231.00,458.68,103.00,282.23,5.65
02/01/2012 14:00:00,7.61,16.00,0.00,16.00,273.55,5.79
02/01/2012 15:00:00,7.16,6.00,0.00,6.00,275.27,5.13
02/01/2012 16:00:00,6.72,0.00,-0.00,0.00,276.98,4.46
